ProfitRate,Time
1.0,2022-02-15 09:45:00
0.9956294498712903,2022-02-15 10:00:00
0.9985382593509962,2022-02-15 10:15:00
0.9973699560861238,2022-02-15 10:30:00
0.9969175685372752,2022-02-15 10:45:00
0.9945292006276958,2022-02-15 11:00:00
0.9940081734302935,2022-02-15 11:15:00
0.9920748111973362,2022-02-15 11:30:00
0.9915772012013988,2022-02-15 13:15:00
0.9869463558903927,2022-02-15 13:30:00
0.9870181791636173,2022-02-15 13:45:00
0.9828286073741097,2022-02-15 14:00:00
0.9828286073741097,2022-02-15 14:15:00
0.9794104328868602,2022-02-15 14:30:00
0.9812142475269883,2022-02-15 14:45:00
0.9821721133550992,2022-02-15 15:00:00
0.9891631104991186,2022-02-16 09:45:00
0.9962482788201966,2022-02-16 10:00:00
0.9987251176363056,2022-02-16 10:15:00
0.9987251176363056,2022-02-16 10:30:00
0.9983341708668333,2022-02-16 10:45:00
0.9983856618903053,2022-02-16 11:00:00
0.9983170369482325,2022-02-16 11:15:00
0.9982572611413123,2022-02-16 11:30:00
0.9944797749232566,2022-02-16 13:15:00
0.993990627706341,2022-02-16 13:30:00
0.9933085176556025,2022-02-16 13:45:00
0.9932680656312132,2022-02-16 14:00:00
0.9956985258494715,2022-02-16 14:15:00
0.9957780697163789,2022-02-16 14:30:00
0.9948988903191521,2022-02-16 14:45:00
0.9948988903191521,2022-02-16 15:00:00
0.989534491331802,2022-02-17 09:45:00
0.9884095349219414,2022-02-17 10:00:00
0.9928089297769652,2022-02-17 10:15:00
0.9921938067169108,2022-02-17 10:30:00
0.9930408850377456,2022-02-17 10:45:00
0.9952331280820056,2022-02-17 11:00:00
0.995447157321056,2022-02-17 11:15:00
0.9948859090254649,2022-02-17 11:30:00
0.9984288200870108,2022-02-17 13:15:00
0.9962037662243138,2022-02-17 13:30:00
0.9962037662243138,2022-02-17 13:45:00
0.9959004660354144,2022-02-17 14:00:00
0.9963487091031263,2022-02-17 14:15:00
0.9964036256953054,2022-02-17 14:30:00
0.9942543135978642,2022-02-17 14:45:00
0.9938823625177434,2022-02-17 15:00:00
0.999994572203266,2022-02-18 09:45:00
0.9942255549592057,2022-02-18 10:00:00
0.9948571447931206,2022-02-18 10:15:00
0.9948571447931206,2022-02-18 10:30:00
0.9941094193271022,2022-02-18 10:45:00
0.9909113859570332,2022-02-18 11:00:00
0.9899346947948152,2022-02-18 11:15:00
0.9900733085827932,2022-02-18 11:30:00
0.9898090581670279,2022-02-18 13:15:00
0.9895769872159179,2022-02-18 13:30:00
0.9887945094702015,2022-02-18 13:45:00
0.9882290265654949,2022-02-18 14:00:00
0.9866254133910523,2022-02-18 14:15:00
0.9856278034295408,2022-02-18 14:30:00
0.9856278034295408,2022-02-18 14:45:00
0.9859082916442853,2022-02-18 15:00:00
0.9755422544814346,2022-02-21 09:45:00
0.9770656356892071,2022-02-21 10:00:00
0.975151618649982,2022-02-21 10:15:00
0.9747181295326863,2022-02-21 10:30:00
0.9733796689878995,2022-02-21 10:45:00
0.9746331798870729,2022-02-21 11:00:00
0.973908894236455,2022-02-21 11:15:00
0.9728720289809804,2022-02-21 11:30:00
0.9708669497278036,2022-02-21 13:15:00
0.9695769005548337,2022-02-21 13:30:00
0.9706625327627789,2022-02-21 13:45:00
0.9706625327627789,2022-02-21 14:00:00
0.9704953562432445,2022-02-21 14:15:00
0.9684159010049461,2022-02-21 14:30:00
0.9690705032961494,2022-02-21 14:45:00
0.96945691516609,2022-02-21 15:00:00
1.013952576841038,2022-02-22 09:45:00
1.013952576841038,2022-02-22 10:00:00
1.0126230097311961,2022-02-22 10:15:00
1.0122024889973076,2022-02-22 10:30:00
1.012221803187488,2022-02-22 10:45:00
1.0133981992167171,2022-02-22 11:00:00
1.0131522644489495,2022-02-22 11:15:00
1.0128024930478208,2022-02-22 11:30:00
1.0111189321727319,2022-02-22 13:15:00
1.0113712062532751,2022-02-22 13:30:00
1.0112543172370871,2022-02-22 13:45:00
1.0114957317495525,2022-02-22 14:00:00
1.010842157072553,2022-02-22 14:15:00
1.0108414011611349,2022-02-22 14:30:00
1.0114688505878755,2022-02-22 14:45:00
1.0114688505878755,2022-02-22 15:00:00
1.009312150987105,2022-02-23 09:45:00
1.008289800864417,2022-02-23 10:00:00
1.0089211378119753,2022-02-23 10:15:00
